product_name,brand,source,url,price,rating,product_type,hazard_score,date_published,ingredients
"The Ordinary ""B"" Oil",The Ordinary,INCIDecoder,https://www.incidecoder.com/products/the-ordinary-b-oil,,,,,,Caprylic/​Capric Triglyceride; Squalane; Crambe Abyssinica Seed Oil; Bisabolol; Simmondsia Chinensis Seed Oil; Ethylhexyl Stearate; Isochrysis Galbana Extract; Adansonia Digitata Seed Oil; Argania Spinosa Kernel Oil; Borago Officinalis Seed Oil; Rosa Canina Seed Oil; Sclerocarya Birrea Seed Oil; Oenocarpus Bataua Fruit Oil; Plukenetia Volubilis Seed Oil; Bertholletia Excelsa Seed Oil; Solanum Lycopersicum (Tomato) Fruit Extract; Hydroxymethoxyphenyl Decanone; Rosmarinus Officinalis (Rosemary) Leaf Extract; Tocopherol; Argania Spinosa Kernel Oil; Plukenetia Volubilis Seed Oil; Solanum Lycopersicum (Tomato) Fruit Extract; Hydroxymethoxyphenyl Decanone; Rosmarinus Officinalis (Rosemary) Leaf Extract; Tocopherol; Squalane; Bisabolol; Borago Officinalis Seed Oil; Hydroxymethoxyphenyl Decanone; Rosmarinus Officinalis (Rosemary) Leaf Extract; Rosmarinus Officinalis (Rosemary) Leaf Extract; Caprylic/​Capric Triglyceride; Squalane; Crambe Abyssinica Seed Oil; Simmondsia Chinensis Seed Oil; Ethylhexyl Stearate; Adansonia Digitata Seed Oil; Argania Spinosa Kernel Oil; Borago Officinalis Seed Oil; Rosa Canina Seed Oil; Sclerocarya Birrea Seed Oil; Oenocarpus Bataua Fruit Oil; Plukenetia Volubilis Seed Oil; Bertholletia Excelsa Seed Oil; Oenocarpus Bataua Fruit Oil; Plukenetia Volubilis Seed Oil; Caprylic/Capric Triglyceride; Squalane; Crambe Abyssinica Seed Oil; Bisabolol
"Pyunkang Yul ACNE, Facial Cleanser",Pyunkang Yul,INCIDecoder,https://www.incidecoder.com/products/pyunkang-yul-pyunkang-yul-acne-facial-cleanser,,,,,,Water; Cocamidopropyl Betaine; Sodium Methyl Oleoyl Taurate; PEG-75; Acrylates Copolymer; Glycerin; Disodium Cocoamphodipropionate; PEG-120 Methyl Glucose Dioleate; Dimethyl Sulfone; Pyridoxine Hcl; Salix Alba (Willow) Bark Extract; Forsythia Suspensa Fruit Extract; Butylene Glycol; Centella Asiatica Extract; Polygonum Cuspidatum Root Extract; Scutellaria Baicalensis Root Extract; Camellia Sinensis Leaf Extract; Glycyrrhiza Uralensis (Licorice) Root Extract; Chamomilla Recutita (Matricaria) Flower Extract; Rosmarinus Officinalis (Rosemary) Leaf Extract; Sodium Chloride; Copper Tripeptide-1; Allantoin; Citric Acid; Potassium Hydroxide; Sodium Benzoate; Phenoxyethanol; Disodium EDTA; Forsythia Suspensa Fruit Extract; Centella Asiatica Extract; Polygonum Cuspidatum Root Extract; Scutellaria Baicalensis Root Extract; Camellia Sinensis Leaf Extract; Chamomilla Recutita (Matricaria) Flower Extract; Rosmarinus Officinalis (Rosemary) Leaf Extract; Copper Tripeptide-1; Copper Tripeptide-1; Glycerin; Salix Alba (Willow) Bark Extract; Centella Asiatica Extract; Scutellaria Baicalensis Root Extract; Camellia Sinensis Leaf Extract; Chamomilla Recutita (Matricaria) Flower Extract; Rosmarinus Officinalis (Rosemary) Leaf Extract; Copper Tripeptide-1; Allantoin; Scutellaria Baicalensis Root Extract; Rosmarinus Officinalis (Rosemary) Leaf Extract; Citric Acid; Potassium Hydroxide
Neogen White Truffle Laycure Oil Stick,Neogen,INCIDecoder,https://www.incidecoder.com/products/neogen-white-truffle-laycure-oil-stick,,,,,,"Olea Europaea (Olive) Fruit Oil; Octyldodecanol; Dibutyl Lauroyl Glutamide; Dibutyl Ethylhexanoyl Glutamide; Bisabolol; Hippophae Rhamnoides Oil; Pelargonium Graveolens Flower Oil; Mentha Piperita (Peppermint) Oil; Rose Flower Oil; Citrus Aurantium Dulcis (Orange) Oil; Citrus Aurantium Bergamia (Bergamot) Fruit Oil; Chamomilla Recutita (Matricaria) Flower Oil; Lavandula Hybrida Oil; Ethylhexylglycerin; Glycerin; Macadamia Integrifolia Seed Oil; Elaeis Guineensis (Palm) Oil; Ceramide 3; Cholesterol; Phytosphingosine; Persea Gratissima (Avocado) Oil; Stearic Acid; Adansonia Digitata Seed Oil; Water; Tuber Magnatum Extract; 1,2-Hexanediol; Hyaluronic Acid; Hydrolyzed Hyaluronic Acid; Sodium Hyaluronate; Acetyl Hexapeptide-8; Caprylyl Glycol; Cyclopentasiloxane; Ethylhexyl Cocoate; Dimethiconol; Dimethylmethoxy Chromanyl Palmitate; Sodium Cocoyl Alaninate; Pseudoalteromonas Ferment Extract; Xanthan Gum; Proline; Alanine; Serine; Sodium Phosphate; Sodium Hydroxide; Palmitoyl Isoleucine; Palmitic Acid; Phytosphingosine; Olea Europaea (Olive) Fruit Oil; Hippophae Rhamnoides Oil; Persea Gratissima (Avocado) Oil; Phytosphingosine"
Rodan + Fields Redefine Overnight Restorative Cream,Rodan + Fields,INCIDecoder,https://www.incidecoder.com/products/rodan-fields-redefine-overnight-restorative-cream,,,,,,Water; Isododecane; Butylene Glycol; Glycerin; Caprylic/​Capric/​Myristic/​Stearic Triglyceride; Niacinamide; Beeswax; Gluconolactone; Cetearyl Alcohol; Dimethicone; Peg-100 Stearate; Glyceryl Stearate; Squalane; Phenoxyethanol; Polyacrylate-13; Sucrose Stearate; Cholesterol; Caprylic/​Capric Triglyceride; Polymethyl Methacrylate; Ammonium Acryloyldimethyltaurate/​Vp Copolymer; Polysilicone-11; Phospholipids; Hydrolyzed Sericin; Polyisobutene; Caprylyl Glycol; Chlorphenesin; Fragrance; Titanium Dioxide; Soy Isoflavones; Polysorbate 20; Tocopheryl Acetate; Tetrapeptide-21; Retinyl Palmitate; Ascorbic Acid; Hydrolyzed Silk; Sodium Hyaluronate; Humic Acids; Olea Europaea (Olive) Fruit Extract; Niacinamide; Soy Isoflavones; Tocopheryl Acetate; Ascorbic Acid; Niacinamide; Tetrapeptide-21; Retinyl Palmitate; Gluconolactone; Niacinamide; Ascorbic Acid; Olea Europaea (Olive) Fruit Extract; Glycerin
NYDG Formula 119 Cream,NYDG,INCIDecoder,https://www.incidecoder.com/products/nydg-formula-119-cream,,,,,,Water (Aqua); Glycerin; Dimethicone; Pentylene Glycol; PPG-3 Benzyl Ether Myristate; Phenyl Trimethicone; Isosorbide Dicaprylate; Butyrospermum Parkii (Shea) Oil; Cetearyl Alcohol; Trehalose; Dimethiconol; Glyceryl Stearate; PEG-100 Stearate; Polysorbate 60; Carbomer; Butylene Glycol; Phenoxyethanol; Dimethicone Crosspolymer-3; Chlorphenesin; Ceteth-10 Phosphate; Dicetyl Phosphate; Tocopherol; Hydrolyzed Algin; Lavandula Angustifolia (Lavender) Oil; Chondrus Crispus (Carrageenan) Extract; Sodium Benzoate; Chlorella Vulgaris Extract; Sodium Hydroxide; Potassium Sorbate; Ethylhexylglycerin; Sea Water (Maris Aqua); Disodium EDTA; Tetrahexyldecyl Ascorbate; Hydrolyzed Sodium Hyaluronate; Xanthan Gum; Oryza Sativa (Rice) Extract; Glucose; Salvia Officinalis (Sage) Oil; Palmitoyl Tripeptide-5; Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate; Panax Ginseng Root Extract; Chamomilla Recutita (Matricaria) Flower Extract; Vitis Vinifera (Grape) Seed Extract; Ginkgo Biloba Leaf Extract; Camellia Oleifera Leaf Extract; Hydroxypropyl Cyclodextrin; Geranium Maculatum Oil; Sodium Hyaluronate; Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine; Palmitoyl Dipeptide-5 Diaminohydroxybutyrate
Boots No7 Line Correcting Booster Serum,Boots No7,INCIDecoder,https://www.incidecoder.com/products/no7-line-correcting-booster-serum,,,,,,Aqua (Water); Glycerin; Butylene Glycol; Aluminum Starch Octenylsuccinate; Polyacrylate Crosspolymer-6; Sorbitan Laurate; Phenoxyethanol; Sodium Lactate; Hydroxyethylcellulose; Carbomer; Caprylyl Glycol; Acetyl Dipeptide-1 Cetyl Ester; Polysorbate 20; Ethylhexylglycerin; Tetrasodium Edta; Potassium Hydroxide; T-Butyl Alcohol; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Acetyl Dipeptide-1 Cetyl Ester; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Glycerin; Acetyl Dipeptide-1 Cetyl Ester; Sodium Lactate; Potassium Hydroxide; Tetrasodium Edta; Caprylyl Glycol; Sorbitan Laurate; Polysorbate 20; Glycerin; Butylene Glycol; Sodium Lactate; Caprylyl Glycol; T-Butyl Alcohol; Phenoxyethanol; Ethylhexylglycerin; Aqua (Water); Butylene Glycol; T-Butyl Alcohol; Polysorbate 20; Aluminum Starch Octenylsuccinate; Polyacrylate Crosspolymer-6; Hydroxyethylcellulose; Carbomer; Aqua (Water); Glycerin; Butylene Glycol; Aluminum Starch Octenylsuccinate; Polyacrylate Crosspolymer-6
Clinique Moisture Surge Hydrating Supercharged Concentrate,Clinique,INCIDecoder,https://www.incidecoder.com/products/clinique-moisture-surge-hydrating-supercharged-concentrate,,,,,,Water\Aqua\Eau; Glycerin; Butylene Glycol; Phenyl Trimethicone; Propanediol; Sucrose; Hydroxyethyl Urea; Alteromonas Ferment Extract; Hydrolyzed Rice Extract; Acetyl Glucosamine; Trehalose; Algae Extract; Caffeine; Cholesterol; Aloe Barbadensis Leaf Water; Sodium Hyaluronate; Pentaerythrityl Tetraethylhexanoate; Dextrin Palmitate; Acrylates/​C10-30 Alkyl Acrylate Crosspolymer; Sorbitol; Sodium Polyaspartate; Tocopheryl Acetate; Carbomer; Dehydroxanthan Gum; Citric Acid; Tetrahexyldecyl Ascorbate; Benzophenone-4; Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate; Sodium Hydroxide; Sodium Citrate; Disodium EDTA; BHT; Chlorphenesin; Phenoxyethanol; Red 4 (Ci 14700); Yellow 5 (Ci 19140); Caffeine; Tocopheryl Acetate; Tetrahexyldecyl Ascorbate; Acetyl Glucosamine; Tetrahexyldecyl Ascorbate; Glycerin; Acetyl Glucosamine; Cholesterol; Sodium Hyaluronate; Sucrose; Alteromonas Ferment Extract; Benzophenone-4; Chlorphenesin; Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate
Drunk Elephant Protini™ Polypeptide Cream (Discontinued),Drunk Elephant,INCIDecoder,https://www.incidecoder.com/products/drunk-elephant-protini-tm-polypeptide-cream-discontinued,,,,,,"Water/​Aqua/​Eau; Dicaprylyl Carbonate; Glycerin; Cetearyl Alcohol; Cetearyl Olivate; Sorbitan Olivate; Sclerocarya Birrea Seed Oil; Bacillus/​Soybean/​ Folic Acid Ferment Extract; Nymphaea Alba Root Extract; Sh-Oligopeptide-1; Sh-Oligopeptide-2; Sh-Polypeptide-1; Sh-Polypeptide-9; Sh-Polypeptide-11; Copper Palmitoyl Heptapeptide-14; Heptapeptide-15 Palmitate; Palmitoyl Tetrapeptide-7; Palmitoyl Tripeptide-1; Alanine; Arginine; Glycine; Histidine; Isoleucine; Phenylalanine; Proline; Serine; Threonine; Valine; Acetyl Glutamine; Coconut Alkanes; Coco-Caprylate/​Caprate; Sodium Hyaluronate; Aspartic Acid; Linoleic Acid; Linolenic Acid; Lecithin; Butylene Glycol; Polyvinyl Alcohol; Sodium Lactate; Sodium Pca; Pca; Sorbitan Isostearate; Carbomer; Polysorbate 20; Polysorbate 60; Lactic Acid/​Glycolic Acid Copolymer; Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer; Xanthan Gum; Isomalt; 1,2-Hexanediol"
Missha BB Serum SPF 50+,Missha,INCIDecoder,https://www.incidecoder.com/products/missha-bb-serum-spf-50,,,,,,"Water; Cyclopentasiloxane; Zinc Oxide; Butylene Glycol; Homosalate; Titanium Dioxide; Caprylic/​Capric Triglyceride; Ethylhexyl Salicylate; PEG-10 Dimethicone; Niacinamide; Iron Oxides (Ci 77492); Cetyl PEG/​PPG-10/​1 Dimethicone; Magnesium Sulfate; Pentylene Glycol; Lactobacillus/​Punica Granatum Fruit Ferment Extract; Lactobacillus/​Soybean Ferment Extract; Oryza Sativa (Rice) Extract; Solanum Melongena (Eggplant) Fruit Extract; Daucus Carota Sativa (Carrot) Root Extract; Vaccinium Angustifolium (Blueberry) Fruit Extract; Beta Vulgaris (Beet) Root Extract; Brassica Oleracea Capitata (Cabbage) Leaf Extract; Citrus Aurantium Bergamia (Bergamot) Fruit Oil; Pelargonium Graveolens Flower Oil; Lavandula Angustifolia (Lavender) Oil; Citrus Aurantium Dulcis (Orange) Peel Oil; Anthemis Nobilis Flower Oil; Santalum Album (Sandalwood) Oil; Disteardimonium Hectorite; Stearic Acid; Aluminum Hydroxide; Synthetic Fluorphlogopite; Triethoxycaprylylsilane; Glyceryl Caprylate; Caprylyl Glycol; Ethylhexylglycerin; Alumina; Disodium Stearoyl Glutamate; Hectorite; Adenosine; Tocopherol; 1,2-Hexanediol; Bifida Ferment Lysate; Glycerin; Lactobacillus Ferment; Lactobacillus/​Acerola Cherry Ferment; Lactobacillus Ferment Lysate; Lactococcus Ferment; Lactococcus Ferment Lysate; Leuconostoc/​Radish Root Ferment Filtrate"
Tatcha Indigo Soothing Recovery Cream,Tatcha,INCIDecoder,https://www.incidecoder.com/products/tatcha-indigo-soothing-recovery-cream,,,,,,Colloidal Oatmeal (3%); Water; Squalane; Glycerin; Propanediol; Cyclopentasiloxane; Diisostearyl Malate; Oryza Sativa (Rice) Bran Wax; Xylitol; Behenyl Alcohol; Polygonum Tinctorium (Japanese Indigo) Leaf/​Stem Extract; Indigofera Tinctoria Leaf Extract; Avena Sativa (Oat Kernel) Extract; Camellia Sinensis (Green Tea) Leaf Extract; Cocos Nucifera (Coconut) Oil; Sophora Japonica Flower Extract; Prunus Lannesiana Flower Extract; Oryza Sativa (Rice) Germ Oil; Inositol (Rice Extract); Sericin (Silk Extract); Tetrasodium Tetracarboxymethyl Naringeninchalcone; Chondrus Crispus (Red Algae) Extract; Amorphophallus Konjac Root Powder; Sodium Hyaluronate; Dextrin; Sorbitan Tristearate; Trihydroxystearin; Dimethicone; Dimethicone/​Vinyl Dimethicone Crosspolymer; Beheneth­‐20; Bis-Diglyceryl Polyacyladipate-­2; Ethylhexylglycerin; Sodium Dilauramidoglutamide Lysine; Disodium Edta; Ethylhexyl Palmitate; Sodium Acrylate/​Acryloyldimethyltaurate/​Dimethylacrylamide Crosspolymer; Titanium Dioxide; Calcium Carbonate; Tin Oxide; Phenoxyethanol; Mica; Colloidal Oatmeal (3%); Avena Sativa (Oat Kernel) Extract; Camellia Sinensis (Green Tea) Leaf Extract; Squalane; Glycerin; Sodium Hyaluronate; Colloidal Oatmeal (3%); Avena Sativa (Oat Kernel) Extract; Camellia Sinensis (Green Tea) Leaf Extract
