url,source,product_name,brand,price,rating,ingredients,date_published,hazard_score,file_source,sources,all_urls,ingredient_count,is_merged,merge_count,data_sources,product_type,data_quality_score,contains_retinol,contains_hyaluronic_acid,contains_vitamin_c,contains_niacinamide,contains_aha_bha,processed_date,ingredients_list
https://www.cosdna.com/cht/product.php?q=facial%20moisturizer,CosDNA,化妝品搜尋,,,,[],,,CosDNA,['CosDNA'],https://www.cosdna.com/cht/product.php?q=facial%20moisturizer; https://www.cosdna.com/cht/product.php?q=facial%20moisturizer,0,True,2.0,1.0,Other,25,False,False,False,False,False,2025-07-25T16:53:05.372961,
https://www.cosdna.com/chs/product.php?q=facial%20moisturizer,CosDNA,化妆品搜索,,,,[],,,CosDNA,['CosDNA'],https://www.cosdna.com/chs/product.php?q=facial%20moisturizer; https://www.cosdna.com/chs/product.php?q=facial%20moisturizer,0,True,2.0,1.0,Other,25,False,False,False,False,False,2025-07-25T16:53:05.372975,
https://www.ewg.org/skindeep/products/942885-Be_Natural_Organics_Squalane_Serum_Light/,EWG Skin Deep,Be Natural Organics Squalane Serum Light,Be Natural Organics,,1/10,[],,1,EWG,,,0,,,,Serum/Treatment,40,False,False,False,False,False,2025-07-25T16:53:05.372984,
https://www.ewg.org/skindeep/products/932867-WO_Activate/,EWG Skin Deep,W/O Activate,W/O,,1/10,[],,1,EWG,,,0,,,,Other,40,False,False,False,False,False,2025-07-25T16:53:05.372992,
https://www.ewg.org/skindeep/products/1002924-Cliganic_100_Pure__Natural_Neem_Oil/,EWG Skin Deep,Cliganic 100% Pure & Natural Neem Oil,Cliganic,,100/10,"['Apply', 'Cliganic Organic Neem', 'RUB', 'USE']",,100,EWG,,,4,,,,Oil,60,False,False,False,False,False,2025-07-25T16:53:05.373001,Apply; Cliganic Organic Neem; RUB; USE
https://www.ewg.org/skindeep/products/835166-Everyone_Nourishing_Lotion_Citrus__Mint/,EWG Skin Deep,"Everyone Nourishing Lotion, Citrus + Mint",Everyone,,1/10,"['Water', 'Benzyl Alcohol Function', 'Calendula Officinalis (pot Marigold) Flower Extract Function', 'Camellia Sinensis (green Tea) Leaf Extract Function', 'Caprylic', 'Vitamin C', 'Rosehip Oil', 'Hyaluronic Acid', 'Glycerin']",,1,EWG,,,9,,,,Moisturizer,70,False,True,True,False,False,2025-07-25T16:53:05.373012,Water; Benzyl Alcohol Function; Calendula Officinalis (pot Marigold) Flower Extract Function; Camellia Sinensis (green Tea) Leaf Extract Function; Caprylic; Vitamin C; Rosehip Oil; Hyaluronic Acid; Glycerin
https://www.ewg.org/skindeep/products/1040035-Este_Lauder_Estee_Lauder_Nutritious_Melting_Soft_CremeMask/,EWG Skin Deep,Estee Lauder Nutritious Melting Soft Creme/Mask,Estée Lauder,,1/10,"['Acrylates', 'C10-30 Alkyl Acrylate Crosspolymer Function', 'VP', 'Water', 'Rosehip Oil', 'Hyaluronic Acid', 'Glycerin', 'Vitamin C', 'Undecenoic', 'Copolymer']",,1,EWG,,,10,,,,Mask,70,False,True,True,False,False,2025-07-25T16:53:05.373023,Acrylates; C10-30 Alkyl Acrylate Crosspolymer Function; VP; Water; Rosehip Oil; Hyaluronic Acid; Glycerin; Vitamin C; Undecenoic; Copolymer
https://www.incidecoder.com/products/glossier-milky-oil,INCIDecoder,Glossier Milky Oil,Glossier,,,"['Water', 'Isohexadecane', 'Peg-40 Hydrogenated Castor', 'Panthenol', 'Glycerin', 'Ppg-26-buteth-26', 'Vitamin C', 'Sodium Benzoate', 'Disodium Edta', 'Sodium Chloride', 'Argan Oil', 'Hyaluronic Acid']",,,INCIDecoder,,,12,,,,Oil,60,False,True,True,False,False,2025-07-25T16:53:05.373034,Water; Isohexadecane; Peg-40 Hydrogenated Castor; Panthenol; Glycerin; Ppg-26-buteth-26; Vitamin C; Sodium Benzoate; Disodium Edta; Sodium Chloride; Argan Oil; Hyaluronic Acid
https://www.incidecoder.com/products/paulas-choice-defense-nightly-reconditioning-moisturizer,INCIDecoder,Paula's Choice Defense Nightly Reconditioning Moisturizer,Paula's Choice,,,"['Water', 'Glycerin', 'Hyaluronic Acid', 'Hydroxyethyl Acrylatesodium Acryloyldimethyl Taurate Copolymer', 'Isoamyl Laurate', 'Rosehip Oil', 'Medicago Sativa', 'Vitamin C', 'Hydrolyzed Algae', 'Palmitoyl Hexapeptide-12', 'Palmitoyl Dipeptide-10', 'Ceramides', 'Cocoyl Proline', 'Argan Oil', 'Retinol', 'Peg-10 Phytosterol', 'Tribehenin', 'Sodium Gluconate', 'Zinc Gluconate', 'Copper Gluconate', 'C12-15 Alkyl Benzoate']",,,INCIDecoder,,,21,,,,Moisturizer,70,True,True,True,False,False,2025-07-25T16:53:05.373046,Water; Glycerin; Hyaluronic Acid; Hydroxyethyl Acrylatesodium Acryloyldimethyl Taurate Copolymer; Isoamyl Laurate; Rosehip Oil; Medicago Sativa; Vitamin C; Hydrolyzed Algae; Palmitoyl Hexapeptide-12; Palmitoyl Dipeptide-10; Ceramides; Cocoyl Proline; Argan Oil; Retinol; Peg-10 Phytosterol; Tribehenin; Sodium Gluconate; Zinc Gluconate; Copper Gluconate; C12-15 Alkyl Benzoate
https://www.incidecoder.com/products/the-ordinary-natural-moisturizing-factors-ha,INCIDecoder,The Ordinary Natural Moisturizing Factors + Ha,The Ordinary,,,"['Water', 'Vitamin C', 'Rosehip Oil', 'Propanediol', 'Glycerin', 'Hyaluronic Acid', 'Alanine', 'Serine', 'Valine', 'Isoleucine', 'Retinol', 'Histidine', 'Glucose', 'Maltose', 'Fructose', 'Sodium PCA', 'Urea', 'Argan Oil', 'Glycolic Acid', 'Lactic Acid', 'Ceramides', 'Isoceteth-20', 'Polysorbate 60', 'Chlorphenesin.']",,,INCIDecoder,,,24,,,,Other,70,True,True,True,False,True,2025-07-25T16:53:05.373061,Water; Vitamin C; Rosehip Oil; Propanediol; Glycerin; Hyaluronic Acid; Alanine; Serine; Valine; Isoleucine; Retinol; Histidine; Glucose; Maltose; Fructose; Sodium PCA; Urea; Argan Oil; Glycolic Acid; Lactic Acid; Ceramides; Isoceteth-20; Polysorbate 60; Chlorphenesin.
